,GaiaEDR3,RAdeg,e_RAdeg,DEdeg,e_DEdeg,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,RFG,BPmag,RFBP,RPmag,RFRP,E(BP/RP),RUWE,IPDfmp,RV,e_RV,r_RV,f_RV,GCNSprob,WDprob,Dist1,Dist16,Dist50,Dist84,xcoord50,xcoord16,xcoord84,ycoord50,ycoord16,ycoord84,zcoord50,zcoord16,zcoord84,Uvel50,Uvel16,Uvel84,Vvel50,Vvel16,Vvel84,Wvel50,Wvel16,Wvel84,GUNN,r_GUNN,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag
0,4684097178470252032,0.3976191,0.07242,-77.0665111,0.08434,15.455,0.0916,-56.841,0.11043,-176.791,0.11371,4.3666,989.77,5.0325,1040.97,3.5835,429.59,1.2586,1.38,0,22.481,0.1657,b'2018A&A...616A...1G',b'T',1.0,0.007,0.06381,0.06434,0.06472,0.06511,29.63862,29.46127,29.81695,-40.00822,-39.76882,-40.24894,-41.35356,-41.10611,-41.60238,34.622,34.469,34.772,-41.115,-41.291,-40.93,29.4,29.129,29.692,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00013578-7703561',2.547,0.236,1.908,0.22,1.772,0.294,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2414783622022208128,0.9350674,0.14239,-17.3360314,0.07588,10.508,0.11807,25.363,0.18622,-8.987,0.08249,4.5166,1121.52,4.5075,1135.74,4.5234,449.23,1.1496,0.81,2,8.0,4.6,b'2006AstL...32..759G',b'F',1.0,0.0,0.09262,0.09414,0.09517,0.09623,7.44124,7.36102,7.52411,23.03969,22.79131,23.29628,-92.03898,-91.04676,-93.06399,-7.432,-7.784,-7.122,-6.852,-7.876,-5.87,-10.018,-13.921,-6.015,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00034439-1720092',4.151,0.222,4.61,0.029,4.564,0.017,b' ',0.0,0.0,0.0,0.0,4.532,0.015,4.226,0.026
2,2444348733779214976,1.333868,0.30749,-5.707223,0.15042,23.515,0.27998,-11.985,0.35173,89.314,0.14051,4.3183,1096.62,4.853,1379.21,3.6298,362.32,1.2368,3.45,1,-8.342,3.9685,b'2018A&A...616A...1G',b'T',0.938,0.022,0.04136,0.04204,0.04254,0.04305,-1.13599,-1.12256,-1.14965,17.31053,17.10588,17.51866,-38.84024,-38.38107,-39.30723,-6.496,-6.616,-6.364,12.285,10.615,13.768,13.987,10.672,17.643,b' 1237672841745662039',b'2017ApJS..233...25A',12.466,0.012,10.341,0.006,9.303,0.007,9.663,0.008,b'00052013-0542275',2.642,0.228,2.091,0.19,1.989,0.22,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4990516294443333504,2.3534338,0.09015,-45.7482221,0.09247,22.608,0.14811,120.393,0.1097,-179.597,0.12559,3.6018,1075.25,4.1332,271.57,2.9382,434.39,1.2202,2.34,0,-9.2,0.7,b'2006AstL...32..759G',b'F',1.0,0.0,0.04358,0.04398,0.04426,0.04455,12.53884,12.45768,12.62033,-8.99847,-8.94022,-9.05695,-41.4864,-41.21788,-41.75603,-9.402,-9.618,-9.189,-42.316,-42.64,-42.019,16.096,15.403,16.78,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00092467-4544506',2.19,0.296,1.756,0.252,1.617,0.3,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4630854015089595776,2.5083277,0.04942,-82.2241369,0.04661,12.353,0.05167,-22.05,0.06599,-20.218,0.06352,5.0075,1835.89,5.5251,1289.84,4.3423,375.82,1.227,1.03,1,14.58,0.1337,b'2018A&A...616A...1G',b'T',1.0,0.0,0.08021,0.08063,0.08095,0.08128,37.78627,37.63883,37.94071,-54.71758,-54.50407,-54.94122,-46.1602,-45.98008,-46.34886,15.393,15.32,15.466,-10.341,-10.431,-10.246,-0.706,-0.792,-0.622,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00100226-8213266',3.745,0.222,3.103,0.194,3.006,0.262,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2416611663182821120,2.8156932,0.0946,-15.4691759,0.06936,52.949,0.09585,-82.828,0.11729,-269.549,0.08245,4.7636,1233.81,5.0198,1449.22,4.3381,487.35,1.1957,1.69,0,15.188,0.3097,b'2018A&A...616A...1G',b'T',1.0,0.046,0.01881,0.01885,0.01889,0.01892,0.65861,0.65743,0.65984,4.82237,4.81375,4.83138,-18.24815,-18.21552,-18.28223,18.86,18.825,18.896,-13.066,-13.142,-12.986,-18.455,-18.754,-18.179,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00111587-1528043',4.153,0.268,3.8,0.208,3.821,0.218,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,379662675036095232,4.2725989,0.30725,38.68157,0.136,18.875,0.42508,-57.551,0.30722,-14.795,0.15524,4.5603,1031.39,4.6147,1534.1,4.5196,774.33,1.1267,2.84,0,0.9,0.9,b'1979IAUS...30...57E',b'F',0.932,0.007,0.05043,0.05189,0.05308,0.05436,-21.01312,-20.54515,-21.52093,43.82095,42.84504,44.87993,-21.33528,-20.86014,-21.85087,13.342,12.936,13.776,6.6,5.861,7.301,-1.812,-2.154,-1.449,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00170549+3840539',4.872,0.328,4.577,0.02,4.416,0.02,b'J001705.47+384054.4',5.376,0.094,4.606,0.081,0.0,0.0,0.0,0.0
7,378607281314502016,4.5815438,0.14319,36.7850369,0.08466,23.254,0.18087,-65.212,0.15293,-42.221,0.12394,4.5015,972.49,4.5175,1861.84,4.4224,934.51,1.1674,1.97,0,-8.2,0.9,b'2006AstL...32..759G',b'F',1.0,0.0,0.04229,0.04268,0.04302,0.04337,-16.75368,-16.62125,-16.89055,34.99092,34.71432,35.27678,-18.59902,-18.452,-18.75096,17.405,17.046,17.771,-3.046,-3.777,-2.34,-2.429,-2.817,-2.041,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00181967+3647070',4.345,0.27,4.421,0.18,4.464,0.29,b'J001819.59+364706.6',5.085,0.047,4.472,0.04,0.0,0.0,0.0,0.0
8,2429978803998630400,4.8569109,0.15409,-8.8240821,0.12176,11.7,0.19682,-14.61,0.17886,-36.668,0.17145,3.2267,652.87,3.9519,71.71,2.5614,131.07,1.1487,2.85,0,19.35,0.17,b'2008AJ....135..209M',b'F',1.0,0.0,0.0823,0.08418,0.08556,0.08706,-4.525,-4.45218,-4.60443,28.63714,28.17624,29.13981,-80.49798,-79.20241,-81.91095,11.528,11.307,11.755,-2.679,-2.836,-2.524,-22.164,-22.336,-21.998,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00192567-0849264',1.694,0.264,1.097,0.21,1.025,0.266,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4900108950849461248,5.0356095,0.11317,-64.8696171,0.11707,116.183,0.13336,1706.747,0.16226,1164.959,0.15614,4.0735,894.04,4.3695,937.21,3.6002,460.69,1.2031,3.21,0,9.28,0.0003,b'2018A&A...616A...7S',b'F',1.0,0.097,0.00859,0.0086,0.00861,0.00862,3.29069,3.2868,3.29427,-4.165,-4.16008,-4.16954,-6.7771,-6.76908,-6.78448,-72.121,-72.198,-72.04,-3.789,-3.794,-3.782,-44.479,-44.517,-44.439,b' ',b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'00200446-6452282',3.068,0.272,2.738,0.218,2.769,0.25,b' ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
